Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
910000,1.3998793,0.006810957,999.0,0.33078733086586,0.33078733086586,1.0
920000,1.3995417,0.008031828,999.0,0.2635507027308146,0.2635507027308146,1.0
930000,1.399206,0.0132592,999.0,0.0,0.0,1.0
940000,1.3989371,0.009070611,999.0,0.27383995801210403,0.27383995801210403,1.0
950000,1.3992802,0.008099607,999.0,0.2819864749908447,0.2819864749908447,1.0
960000,1.3996595,0.0064096185,999.0,0.10887554672857126,0.10887554672857126,1.0
970000,1.3997474,0.027860394,999.0,0.0,0.0,1.0
980000,1.3999017,0.009859041,999.0,0.5338209047913551,0.5338209047913551,1.0
990000,1.3996358,0.0063871173,999.0,0.1102079376578331,0.1102079376578331,1.0
1000000,1.3989252,0.01661547,999.0,0.47442330519358317,0.47442330519358317,1.0
1010000,1.3987448,0.030736322,999.0,0.6070664529171255,0.6070664529171255,1.0
1020000,1.3979052,0.032932516,999.0,0.5930409729480743,0.5930409729480743,1.0
1030000,1.3977783,0.05185607,999.0,0.5932892113924026,0.5932892113924026,1.0
1040000,1.3961958,0.029073406,999.0,0.9325093428293864,0.9325093428293864,1.0
1050000,1.3961958,0.044558745,999.0,1.0861500683757994,1.0861500683757994,1.0
1060000,1.3953273,0.08631965,999.0,2.0067174865398556,2.0067174865398556,1.0
1070000,1.395307,0.064859584,999.0,2.0986487567424774,2.0986487567424774,1.0
1080000,1.3939979,0.15701573,999.0,2.874505469451348,2.874505469451348,1.0
1090000,1.393783,0.15046844,999.0,3.295627133713828,3.295627133713828,1.0
1100000,1.3914775,0.15708578,999.0,2.8600573488511145,2.8600573488511145,1.0
1110000,1.3907769,0.21533562,999.0,6.366779960691929,6.366779960691929,1.0
1120000,1.3895149,0.27768362,999.0,6.630256931483745,6.630256931483745,1.0
1130000,1.3889154,0.21079421,999.0,7.1532421277629,7.1532421277629,1.0
1140000,1.3873473,0.25215474,999.0,3.730611588805914,3.730611588805914,1.0
1150000,1.386118,0.38389605,999.0,9.387702970765531,9.387702970765531,1.0
1160000,1.3851935,0.4322251,999.0,8.4444034020106,8.4444034020106,1.0
1170000,1.384147,0.4935403,999.0,14.73543029692438,14.73543029692438,1.0
1180000,1.3828117,0.507578,999.0,10.874068494420499,10.874068494420499,1.0
1190000,1.3806075,0.6149301,999.0,14.260746694169939,14.260746694169939,1.0
1200000,1.3798062,0.64241123,999.0,13.140256096919378,13.140256096919378,1.0
1210000,1.3776118,0.6665468,999.0,16.40537979867723,16.40537979867723,1.0
1220000,1.3773925,0.77337945,999.0,15.890454731881618,15.890454731881618,1.0
1230000,1.3764025,0.90252876,999.0,17.58318487321958,17.58318487321958,1.0
1240000,1.3762445,0.84012216,999.0,15.32557044364512,15.32557044364512,1.0
1250000,1.373398,1.0493412,999.0,20.336862918403412,20.336862918403412,1.0
1260000,1.373398,1.1036241,999.0,20.418720956891775,20.418720956891775,1.0
1270000,1.3713001,1.2188723,999.0,21.71625579893589,21.71625579893589,1.0
1280000,1.3712356,1.0909238,999.0,17.53432056605816,17.53432056605816,1.0
1290000,1.3694488,1.2676566,999.0,21.450021975570255,21.450021975570255,1.0
1300000,1.369177,1.3218307,999.0,23.130676317960024,23.130676317960024,1.0
1310000,1.367471,1.4428928,999.0,24.208971828222275,24.208971828222275,1.0
1320000,1.3669511,1.4880139,999.0,23.950184941788514,23.950184941788514,1.0
1330000,1.3654565,1.6027006,999.0,29.5217171634237,29.5217171634237,1.0
1340000,1.3647066,1.6723537,999.0,22.10276609659195,22.10276609659195,1.0
1350000,1.3632313,1.7509909,999.0,24.642705079633743,24.642705079633743,1.0
1360000,1.3621672,1.7664571,999.0,27.620260200897853,27.620260200897853,1.0
1370000,1.3617052,1.7985554,999.0,26.382111926873524,26.382111926873524,1.0
1380000,1.3611814,1.8213295,999.0,28.795129790902138,28.795129790902138,1.0
1390000,1.3604,1.9359149,999.0,26.133402328938246,26.133402328938246,1.0
1400000,1.3591061,1.9176675,999.0,29.26949325402578,29.26949325402578,1.0
1410000,1.3584057,1.993803,999.0,24.36407212416331,24.36407212416331,1.0
1420000,1.3563544,2.1089473,999.0,27.38158778473735,27.38158778473735,1.0
1430000,1.3558215,2.1098642,999.0,30.031171575188637,30.031171575188637,1.0
1440000,1.353339,2.257588,999.0,29.358697666724524,29.358697666724524,1.0
1450000,1.3531672,2.2420278,999.0,30.396228810151417,30.396228810151417,1.0
1460000,1.3509896,2.3742871,999.0,32.68990055564791,32.68990055564791,1.0
1470000,1.3509896,2.3790758,999.0,32.41959095746279,32.41959095746279,1.0
1480000,1.3491527,2.4035826,999.0,32.22441393236319,32.22441393236319,1.0
1490000,1.3491,2.4574416,999.0,32.27463782495923,32.27463782495923,1.0
1500000,1.3474028,2.4970381,999.0,26.403603605926037,26.403603605926037,1.0
1510000,1.347149,2.557783,999.0,36.17015781998634,36.17015781998634,1.0
1520000,1.3449023,2.6569164,999.0,33.385851299017666,33.385851299017666,1.0
1530000,1.3442668,2.6225362,999.0,32.92769809563955,32.92769809563955,1.0
1540000,1.3428507,2.6800644,999.0,28.230894662439823,28.230894662439823,1.0
1550000,1.3421377,2.7195992,999.0,34.936444758437574,34.936444758437574,1.0
1560000,1.3413181,2.8162725,999.0,35.76219608783722,35.76219608783722,1.0
1570000,1.3407134,2.7978592,999.0,33.92504943079419,33.92504943079419,1.0
1580000,1.3403784,2.851096,999.0,30.641462401486933,30.641462401486933,1.0
1590000,1.3399928,2.996889,999.0,36.42165122926235,36.42165122926235,1.0
1600000,1.3391677,2.9757085,999.0,35.777852195501325,35.777852195501325,1.0
1610000,1.3377304,3.021883,999.0,32.11564502120018,32.11564502120018,1.0
1620000,1.3369442,3.0361817,999.0,35.228214383125305,35.228214383125305,1.0
1630000,1.3348992,3.1181302,999.0,36.02320159226656,36.02320159226656,1.0
1640000,1.3346959,3.1527011,999.0,36.15352604786555,36.15352604786555,1.0
1650000,1.3336542,3.1623325,999.0,37.89006644487381,37.89006644487381,1.0
1660000,1.3336004,3.0968955,999.0,31.31330047454685,31.31330047454685,1.0
1670000,1.3329939,3.2249968,999.0,35.942296370863914,35.942296370863914,1.0
1680000,1.3329939,3.184973,999.0,35.32584945360819,35.32584945360819,1.0
1690000,1.3322608,3.3109813,999.0,37.00687744220098,37.00687744220098,1.0
1700000,1.3322346,3.2849343,999.0,37.6581256845966,37.6581256845966,1.0
1710000,1.3315153,3.3145478,999.0,35.093625992536545,35.093625992536545,1.0
1720000,1.331407,3.2099848,999.0,32.623689540227254,32.623689540227254,1.0
1730000,1.330001,3.327682,999.0,32.27996787801385,32.27996787801385,1.0
1740000,1.3295887,3.4035256,999.0,40.571800008416176,40.571800008416176,1.0
1750000,1.3285692,3.4429104,999.0,38.99942326173186,38.99942326173186,1.0
1760000,1.3280694,3.4089127,999.0,38.88835229873657,38.88835229873657,1.0
1770000,1.3268651,3.4254367,999.0,37.730642176336715,37.730642176336715,1.0
1780000,1.3259468,3.4789054,999.0,34.51282773911953,34.51282773911953,1.0
1790000,1.325206,3.515004,999.0,39.17379829287529,39.17379829287529,1.0
1800000,1.3244139,3.4362729,999.0,35.50925465027491,35.50925465027491,1.0
1810000,1.3236274,3.4672348,999.0,35.07859220107397,35.07859220107397,1.0
1820000,1.3222166,3.5411384,999.0,37.73334117420018,37.73334117420018,1.0
1830000,1.3217028,3.5873277,999.0,37.557866130024195,37.557866130024195,1.0
1840000,1.3203738,3.564474,999.0,38.67005460262298,38.67005460262298,1.0
1850000,1.320188,3.6217213,999.0,41.01899226506551,41.01899226506551,1.0
1860000,1.3193381,3.6149545,999.0,37.93199844658375,37.93199844658375,1.0
1870000,1.3192855,3.633614,999.0,40.465534061193466,40.465534061193466,1.0
1880000,1.3186095,3.544916,999.0,38.223493846257526,38.223493846257526,1.0
1890000,1.3186096,3.6698556,999.0,39.449617233541275,39.449617233541275,1.0
1900000,1.3180385,3.719975,999.0,40.25148376636207,40.25148376636207,1.0
1910000,1.318021,3.7604544,999.0,44.7038786560297,44.7038786560297,1.0
1920000,1.3165691,3.7204936,999.0,40.232150295376776,40.232150295376776,1.0
1930000,1.3163415,3.7425792,999.0,37.857795198758446,37.857795198758446,1.0
1940000,1.315331,3.8716888,999.0,42.3262180685997,42.3262180685997,1.0
1950000,1.3150342,3.8219585,999.0,43.79674816131592,43.79674816131592,1.0
1960000,1.3143939,3.9073095,999.0,38.49878495534261,38.49878495534261,1.0
1970000,1.3140906,3.8753746,999.0,41.918268071280586,41.918268071280586,1.0
1980000,1.3130959,3.866677,999.0,39.70231141895056,39.70231141895056,1.0
1990000,1.3123188,3.9364612,999.0,38.41715182363987,38.41715182363987,1.0
2000000,1.3116066,3.9265442,999.0,42.08804963429769,42.08804963429769,1.0
2010000,1.310817,3.9744039,999.0,39.854909896850586,39.854909896850586,1.0
2020000,1.3103662,3.9716797,999.0,40.36485992372036,40.36485992372036,1.0
2030000,1.3096426,3.9414263,999.0,35.47069609165192,35.47069609165192,1.0
2040000,1.3095123,4.019231,999.0,43.15110721761982,43.15110721761982,1.0
2050000,1.3091487,4.037889,999.0,37.49526947074466,37.49526947074466,1.0
2060000,1.3091136,3.997327,999.0,39.418572187423706,39.418572187423706,1.0
2070000,1.3089554,4.031456,999.0,40.96122391521931,40.96122391521931,1.0
2080000,1.3089012,4.0192666,999.0,42.097237863143285,42.097237863143285,1.0
2090000,1.307932,4.073194,999.0,41.17210961712731,41.17210961712731,1.0
2100000,1.307932,4.083846,999.0,42.008849143981934,42.008849143981934,1.0
2110000,1.3078238,4.150599,999.0,44.76066720485687,44.76066720485687,1.0
2120000,1.307823,4.1565604,999.0,43.81245466321707,43.81245466321707,1.0
2130000,1.307793,4.165903,999.0,45.88742365853654,45.88742365853654,1.0
2140000,1.3077908,4.191794,999.0,42.73335745674558,42.73335745674558,1.0
2150000,1.3069186,4.251178,999.0,45.77499407529831,45.77499407529831,1.0
2160000,1.3066634,4.2634616,999.0,47.57190794150035,47.57190794150035,1.0
2170000,1.3061382,4.2483397,999.0,45.295519702964356,45.295519702964356,1.0
2180000,1.3058797,4.230073,999.0,42.43784049153328,42.43784049153328,1.0
2190000,1.3055203,4.2100964,999.0,40.067750707268715,40.067750707268715,1.0
2200000,1.3052642,4.2634287,999.0,44.2879469593366,44.2879469593366,1.0
2210000,1.3048414,4.2975893,999.0,44.728803396224976,44.728803396224976,1.0
2220000,1.3043556,4.296378,999.0,46.54627748206258,46.54627748206258,1.0
2230000,1.303901,4.284984,999.0,45.03450462222099,45.03450462222099,1.0
2240000,1.3031636,4.2673078,999.0,44.79441494941712,44.79441494941712,1.0
2250000,1.3027142,4.313045,999.0,42.78239263428582,42.78239263428582,1.0
2260000,1.3014457,4.3187394,999.0,41.640355318784714,41.640355318784714,1.0
2270000,1.3011963,4.3540955,999.0,40.85776545107365,40.85776545107365,1.0
2280000,1.3000375,4.322247,999.0,44.985489972432454,44.985489972432454,1.0
2290000,1.2998976,4.384532,999.0,46.60460628734695,46.60460628734695,1.0
2300000,1.2981569,4.3851714,999.0,47.06440618634224,47.06440618634224,1.0
2310000,1.2981569,4.310167,999.0,43.09604035317898,43.09604035317898,1.0
2320000,1.2974361,4.36763,999.0,42.46329883734385,42.46329883734385,1.0
2330000,1.2974186,4.3611016,999.0,46.653737251129414,46.653737251129414,1.0
2340000,1.2961322,4.3890753,999.0,43.645692482590675,43.645692482590675,1.0
2350000,1.2959378,4.3924446,999.0,49.30125042796135,49.30125042796135,1.0
2360000,1.2954158,4.43097,999.0,46.238910202185316,46.238910202185316,1.0
2370000,1.295275,4.428405,999.0,47.16369812356101,47.16369812356101,1.0
2380000,1.295191,4.504691,999.0,52.68681937456131,52.68681937456131,1.0
2390000,1.2951525,4.502714,999.0,45.53324541449547,45.53324541449547,1.0
2400000,1.2945422,4.476714,999.0,45.196949658791226,45.196949658791226,1.0
2410000,1.2940872,4.463195,999.0,45.75978925493028,45.75978925493028,1.0
2420000,1.293683,4.496073,999.0,45.15379380248487,45.15379380248487,1.0
2430000,1.293225,4.492921,999.0,40.57463802956045,40.57463802956045,1.0
2440000,1.292907,4.4797335,999.0,44.11202836434047,44.11202836434047,1.0
2450000,1.2923604,4.533152,999.0,49.35041626294454,49.35041626294454,1.0
2460000,1.2921046,4.5062814,999.0,48.71927437186241,48.71927437186241,1.0
2470000,1.2914498,4.552705,999.0,45.96436884999275,45.96436884999275,1.0
2480000,1.2912894,4.4921203,999.0,45.94501197437445,45.94501197437445,1.0
2490000,1.2904607,4.523542,999.0,41.840431571006775,41.840431571006775,1.0
2500000,1.2903641,4.5524287,999.0,46.00564171373844,46.00564171373844,1.0
2510000,1.2891973,4.5847607,999.0,47.294875459745526,47.294875459745526,1.0
2520000,1.2891973,4.5180016,999.0,47.39859251976013,47.39859251976013,1.0
2530000,1.2882807,4.5914354,999.0,47.718018452326454,47.718018452326454,1.0
2540000,1.2882545,4.5907617,999.0,47.596184596419334,47.596184596419334,1.0
2550000,1.2871675,4.605248,999.0,47.205481544137,47.205481544137,1.0
2560000,1.287008,4.6167765,999.0,47.17125257651011,47.17125257651011,1.0
2570000,1.2864459,4.560809,999.0,41.898604234059654,41.898604234059654,1.0
2580000,1.2862848,4.6214795,999.0,46.16902255266905,46.16902255266905,1.0
2590000,1.286187,4.630194,999.0,49.16275955736637,49.16275955736637,1.0
2600000,1.2861408,4.6553373,999.0,48.98251227935155,48.98251227935155,1.0
2610000,1.2862114,4.6590233,999.0,46.871457735697426,46.871457735697426,1.0
2620000,1.2862638,4.747359,999.0,53.35129591822624,53.35129591822624,1.0
2630000,1.2860993,4.7291517,999.0,50.554936692118645,50.554936692118645,1.0
2640000,1.2859229,4.747741,999.0,46.18850754102071,46.18850754102071,1.0
2650000,1.2857058,4.774215,999.0,47.92338387171427,47.92338387171427,1.0
2660000,1.2853291,4.734165,999.0,44.183531403541565,44.183531403541565,1.0
2670000,1.2850134,4.679237,999.0,38.215290477499366,38.215290477499366,1.0
2680000,1.2841957,4.667195,999.0,44.85776092211405,44.85776092211405,1.0
2690000,1.2839718,4.7846346,999.0,48.717402617136635,48.717402617136635,1.0
2700000,1.2829772,4.7373085,999.0,49.212717682123184,49.212717682123184,1.0
2710000,1.2828873,4.71825,999.0,48.45743319392204,48.45743319392204,1.0
2720000,1.2817781,4.761499,999.0,46.65167338848114,46.65167338848114,1.0
2730000,1.2817781,4.765338,999.0,49.581779109107124,49.581779109107124,1.0
2740000,1.2812824,4.7335253,999.0,45.1703135073185,45.1703135073185,1.0
2750000,1.2812717,4.818454,999.0,50.85673314332962,50.85673314332962,1.0
2760000,1.2809342,4.7756276,999.0,47.308463245630264,47.308463245630264,1.0
2770000,1.2808838,4.818849,999.0,49.238375425338745,49.238375425338745,1.0
2780000,1.2809871,4.846962,999.0,47.856372363865376,47.856372363865376,1.0
2790000,1.281018,4.785787,999.0,49.24279535934329,49.24279535934329,1.0
2800000,1.2805042,4.7953296,999.0,43.97627745966117,43.97627745966117,1.0
2810000,1.2802602,4.8665233,999.0,52.34375360276964,52.34375360276964,1.0
2820000,1.2799588,4.8684688,999.0,48.41274715214968,48.41274715214968,1.0
2830000,1.279732,4.908549,999.0,52.23522114753723,52.23522114753723,1.0
2840000,1.2796967,4.884572,999.0,49.67139280239741,49.67139280239741,1.0
2850000,1.2796572,4.89605,999.0,49.83191931247711,49.83191931247711,1.0
2860000,1.2794545,4.9151583,999.0,48.59522379562259,48.59522379562259,1.0
2870000,1.2791259,4.8671207,999.0,44.43477117177099,44.43477117177099,1.0
2880000,1.27871,4.930654,999.0,46.4264890452226,46.4264890452226,1.0
2890000,1.2775085,4.872638,999.0,48.36477078331841,48.36477078331841,1.0
2900000,1.2772729,4.9129553,999.0,50.36797213554382,50.36797213554382,1.0
2910000,1.2761829,4.945942,999.0,48.90043821930885,48.90043821930885,1.0
2920000,1.2761126,4.9509,999.0,52.328120795885724,52.328120795885724,1.0
2930000,1.2749584,4.8977494,999.0,48.793656044536164,48.793656044536164,1.0
2940000,1.2749584,4.8386908,999.0,46.78215200453997,46.78215200453997,1.0
2950000,1.2743725,4.9317117,999.0,47.374574575573206,47.374574575573206,1.0
2960000,1.2743593,4.9718914,999.0,52.59844038486481,52.59844038486481,1.0
2970000,1.2737633,4.9877234,999.0,47.00278688139386,47.00278688139386,1.0
2980000,1.2736752,4.991307,999.0,51.76963159441948,51.76963159441948,1.0
2990000,1.2729782,4.915559,999.0,43.00752557814121,43.00752557814121,1.0
3000000,1.2727705,4.9453115,999.0,50.2021185874939,50.2021185874939,1.0
3010000,1.2722518,4.9267745,999.0,50.21174071894752,50.21174071894752,1.0
3020000,1.2719928,4.9406643,999.0,46.72091335058212,46.72091335058212,1.0
3030000,1.2717737,4.936071,999.0,49.69581060484052,49.69581060484052,1.0
3040000,1.2716242,4.9411893,999.0,50.86931425730388,50.86931425730388,1.0
3050000,1.2712021,4.9804935,999.0,52.4520760178566,52.4520760178566,1.0
3060000,1.2707093,5.017598,999.0,48.96604239940643,48.96604239940643,1.0
3070000,1.2705328,5.013862,999.0,52.027518466115,52.027518466115,1.0
3080000,1.2702526,4.970919,999.0,46.83042494455973,46.83042494455973,1.0
3090000,1.2700603,5.020208,999.0,48.7361881269349,48.7361881269349,1.0
3100000,1.2695096,4.981945,999.0,50.94416756927967,50.94416756927967,1.0
3110000,1.2694736,4.968163,999.0,48.66030244529247,48.66030244529247,1.0
3120000,1.2693206,4.984427,999.0,49.58619564771652,49.58619564771652,1.0
3130000,1.2692707,5.0129046,999.0,51.490035209390854,51.490035209390854,1.0
3140000,1.2686521,4.9119625,999.0,48.29439886659384,48.29439886659384,1.0
3150000,1.2686521,4.956053,999.0,48.40181643515825,48.40181643515825,1.0
3160000,1.2682843,4.923381,999.0,50.14119577407837,50.14119577407837,1.0
3170000,1.2682761,4.980575,999.0,49.61461418618759,49.61461418618759,1.0
3180000,1.2680197,4.9555726,999.0,51.080074310302734,51.080074310302734,1.0
3190000,1.2679818,4.9625497,999.0,46.0319759696722,46.0319759696722,1.0
3200000,1.2677348,4.97408,999.0,49.52328972419103,49.52328972419103,1.0
3210000,1.2676696,4.984783,999.0,54.86925425794389,54.86925425794389,1.0
3220000,1.2673112,5.0660806,999.0,51.98229616880417,51.98229616880417,1.0
3230000,1.2671319,5.0402737,999.0,54.38822188973427,54.38822188973427,1.0
3240000,1.2668012,4.972979,999.0,47.90421883265177,47.90421883265177,1.0
3250000,1.2665615,5.0134254,999.0,47.17256436083052,47.17256436083052,1.0
3260000,1.2665308,5.03619,999.0,46.94334231317043,46.94334231317043,1.0
3270000,1.266494,4.974193,999.0,53.62482810020447,53.62482810020447,1.0
3280000,1.266516,5.0745764,999.0,51.8314871152242,51.8314871152242,1.0
3290000,1.2665503,5.065404,999.0,53.37020468711853,53.37020468711853,1.0
3300000,1.2663991,5.027406,999.0,44.12844803929329,44.12844803929329,1.0
3310000,1.266012,5.082022,999.0,51.62469583749771,51.62469583749771,1.0
3320000,1.2658767,5.110202,999.0,54.25615280469258,54.25615280469258,1.0
3330000,1.2651728,5.0301366,999.0,49.462210588985016,49.462210588985016,1.0
3340000,1.265118,5.076621,999.0,48.44649314135313,48.44649314135313,1.0
3350000,1.2644398,5.063543,999.0,52.74585464596748,52.74585464596748,1.0
3360000,1.2644398,5.0376616,999.0,48.16915305654208,48.16915305654208,1.0
3370000,1.2639306,5.0248475,999.0,49.81426666842567,49.81426666842567,1.0
3380000,1.2639169,5.0332656,999.0,49.05016379058361,49.05016379058361,1.0
3390000,1.2632415,5.0598407,999.0,52.520236015319824,52.520236015319824,1.0
3400000,1.2631419,5.0197444,999.0,51.274322052796684,51.274322052796684,1.0
3410000,1.2626787,5.061484,999.0,51.04596021440294,51.04596021440294,1.0
3420000,1.2625464,4.9832125,999.0,48.54839614033699,48.54839614033699,1.0
3430000,1.2622873,5.0102143,999.0,46.54027760028839,46.54027760028839,1.0
3440000,1.2621619,5.010734,999.0,49.731207151214285,49.731207151214285,1.0
3450000,1.262025,5.0305295,999.0,52.53267150455051,52.53267150455051,1.0
3460000,1.261923,5.003165,999.0,51.90562362968922,51.90562362968922,1.0
3470000,1.2617546,5.0105805,999.0,47.25456124544144,47.25456124544144,1.0
3480000,1.2615788,5.0813894,999.0,53.51745748917262,53.51745748917262,1.0
3490000,1.2614161,5.0692205,999.0,49.189072801007164,49.189072801007164,1.0
3500000,1.2611313,5.091125,999.0,52.82364718616009,52.82364718616009,1.0
3510000,1.2609904,5.049627,999.0,53.21673005819321,53.21673005819321,1.0
3520000,1.2606281,5.0359774,999.0,46.71922128200531,46.71922128200531,1.0
3530000,1.2605376,5.056569,999.0,47.65549370977614,47.65549370977614,1.0
3540000,1.2601358,4.9934616,999.0,45.4437780957669,45.4437780957669,1.0
3550000,1.2601144,4.992829,999.0,49.35898432135582,49.35898432135582,1.0
3560000,1.2598666,5.072176,999.0,49.685710493723555,49.685710493723555,1.0
3570000,1.2598666,5.0554686,999.0,49.84607140223185,49.84607140223185,1.0
3580000,1.2599049,5.0056825,999.0,48.22704266011715,48.22704266011715,1.0
3590000,1.259906,5.0938306,999.0,50.675469160079956,50.675469160079956,1.0
3600000,1.2592249,5.1325912,999.0,54.48590120474498,54.48590120474498,1.0
3610000,1.2591246,5.082022,999.0,50.29889146486918,50.29889146486918,1.0
3620000,1.2587383,5.0806146,999.0,51.10925365798175,51.10925365798175,1.0
